# ZAP Baseline Scan Rules Configuration
# Format: rule_id	action	name
# Actions: IGNORE, WARN, FAIL

# Informational findings - Ignore
10021	IGNORE	X-Content-Type-Options Header Missing
10036	IGNORE	Server Leaks Version Information via "Server" HTTP Response Header Field

# Low severity - Warn
10020	WARN	X-Frame-Options Header
10038	WARN	Content Security Policy (CSP) Header Not Set
10098	WARN	Cross-Domain Misconfiguration

# Medium severity - Warn (review needed)
10010	WARN	Cookie No HttpOnly Flag
10011	WARN	Cookie Without Secure Flag
90033	WARN	Loosely Scoped Cookie

# High severity - Fail
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40018	FAIL	SQL Injection
90019	FAIL	Server Side Include
90020	FAIL	Remote OS Command Injection
90021	FAIL	XPath Injection
90023	FAIL	XML External Entity Attack
90024	FAIL	Generic Padding Oracle
90025	FAIL	Expression Language Injection
90026	FAIL	SOAP Action Spoofing
90029	FAIL	SOAP XML Injection
